date,ticker,close,volume,daily_return,MA7,MA30
2025-03-03,AAPL,236.9970703125,47184000,,236.9971,236.9971
2025-03-04,AAPL,234.9061737060547,53798100,-0.008822,235.9516,235.9516
2025-03-05,AAPL,234.7169952392578,47227600,-0.000805,235.5401,235.5401
2025-03-06,AAPL,234.30877685546875,45170400,-0.001739,235.2323,235.2323
2025-03-07,AAPL,238.03256225585938,46273600,0.015893,235.7923,235.7923
2025-03-10,AAPL,226.4928436279297,72071200,-0.04848,234.2424,234.2424
2025-03-11,AAPL,219.88165283203125,76137400,-0.029189,232.1909,232.1909
2025-03-12,AAPL,216.03842163085938,62547500,-0.017479,229.1968,230.1718
2025-03-13,AAPL,208.77008056640625,61368300,-0.033644,225.463,227.7938
2025-03-14,AAPL,212.5635528564453,60107600,0.018171,222.2983,226.2708
2025-03-17,AAPL,213.0713653564453,48073400,0.002389,219.2644,225.0709
2025-03-18,AAPL,211.7670440673828,42432400,-0.006122,215.5121,223.9622
2025-03-19,AAPL,214.30596923828125,54385400,0.011989,213.7712,223.2194
2025-03-20,AAPL,213.17091369628906,48862900,-0.005296,212.8125,222.5017
2025-03-21,AAPL,217.3228302001953,94127800,0.019477,212.996,222.1564
2025-03-24,AAPL,219.77215576171875,44299500,0.01127,214.5677,222.0074
2025-03-25,AAPL,222.77903747558594,34493600,0.013682,216.027,222.0528
2025-03-26,AAPL,220.56866455078125,34466100,-0.009922,217.0981,221.9703
2025-03-27,AAPL,222.8786163330078,37094800,0.010473,218.6855,222.0181
2025-03-28,AAPL,216.95440673828125,39818600,-0.02658,219.0638,221.765
2025-03-31,AAPL,221.16607666015625,65299300,0.019413,220.206,221.7364
2025-04-01,AAPL,222.22145080566406,36412700,0.004772,220.9058,221.7585
2025-04-02,AAPL,222.91842651367188,35905900,0.003136,221.3552,221.8089
2025-04-03,AAPL,202.30824279785156,103419000,-0.092456,218.4308,220.9964
